state_alpha,gini_st,gdppc_st,div_st,inits_st,gov_st,sen_st,swmar_st
1,0.474,3.6463,0.48,0,0,0,0.2219
2,0.41,7.0594,0.57,0,0,0,0.1399
3,0.46,3.8882,0.6,2,0,1,0.039
4,0.468,3.8056,0.42,3,0,0,0.2369
5,0.481,5.1935,0.73,10,0,1,0.2309
6,0.459,5.001,0.48,2,0,0,0.0536
7,0.486,6.399,0.47,0,0,1,0.12
8,0.44,6.2534,0.53,0,1,1,0.1863
9,0.481,3.7636,0.59,0,0,1,0.0088
10,0.477,4.1866,0.59,0,0,0,0.078
11,0.43,4.9096,0.81,0,0,1,0.252
12,0.432,3.4589,0.29,0,0,0,0.3169
13,0.472,5.1023,0.55,0,0,0,0.1684
14,0.446,4.3149,0.33,0,1,1,0.032
15,0.434,4.6591,0.22,0,0,0,0.0581
16,0.444,4.5026,0.38,0,0,0,0.2161
17,0.471,3.817,0.25,0,0,0,0.2268
18,0.484,4.6932,0.53,0,0,0,0.1721
19,0.451,3.7941,0.11,1,0,1,0.1529
20,0.447,5.4497,0.61,0,0,1,0.2608
21,0.477,6.1288,0.41,3,0,1,0.074
22,0.461,3.9912,0.39,5,0,1,0.0947
23,0.444,5.1552,0.31,0,0,1,0.0769
24,0.474,3.0988,0.53,0,0,1,0.115
25,0.461,4.2128,0.33,2,1,1,0.0936
26,0.435,3.7867,0.23,1,1,1,0.017
27,0.447,5.0627,0.32,0,0,1,0.164
28,0.453,4.4197,0.65,0,0,1,0.012
29,0.435,4.771,0.15,0,1,0,0.0558
30,0.469,5.5537,0.6,0,0,1,0.1774
31,0.482,3.9494,0.67,0,0,1,0.056
32,0.503,6.1399,0.62,0,0,0,0.2818
33,0.472,4.3486,0.52,0,1,0,0.0204
34,0.445,5.5109,0.21,3,1,1,0.01
35,0.459,4.3439,0.33,1,0,1,0.0297
36,0.461,4.0459,0.51,0,0,0,0.3354
37,0.459,5.1143,0.38,7,0,0,0.1209
38,0.461,4.6503,0.36,0,0,1,0.0538
39,0.467,4.6304,0.41,0,0,1,0.2746
40,0.465,3.5885,0.51,0,0,0,0.1047
41,0.432,4.833,0.28,1,0,0,0.1802
42,0.476,4.0468,0.4,0,0,1,0.2038
43,0.477,4.8846,0.66,0,0,1,0.1577
44,0.425,4.2714,0.35,0,1,1,0.35
45,0.431,4.2969,0.11,0,1,1,0.203
46,0.463,5.1923,0.53,0,0,1,0.0387
47,0.445,5.2595,0.46,3,1,1,0.024
48,0.472,3.5656,0.13,0,1,1,0.048
49,0.437,4.5036,0.3,0,0,1,0.056
50,0.408,6.6628,0.27,0,0,1,0.4082